Richmond Hill, 43.4%, 43.2%, 8.8%, 3.4%, 0.0%, 1.0%, 0.3%, 46.9%, 43.3%, 8.0%, 1.7%, 0.0%, 0.0%, 0.0%, 35.6%, 43.6%, 17.0%, 3.8%, 0.0%, 0.0%, 0.0%

Markham—Stouffville, 38.9%, 30.7%, 6.3%, 2.5%, 0.0%, 0.8%, 20.8%, 39.0%, 32.0%, 2.0%, 6.0%, 0.0%, 0.0%, 0.0%, 49.2%, 42.8%, 6.1%, 1.9%, 0.0%, 0.0%, 0.0%

Markham—Thornhill, 53.7%, 34.7%, 7.3%, 2.7%, 0.0%, 0.8%, 0.6%, 51.5%, 39.2%, 3.5%, 2.2%, 0.0%, 0.0%, 0.0%, 55.7%, 32.3%, 10.7%, 1.3%, 0.0%, 0.0%, 0.0%

Markham—Unionville, 38.2%, 49.3%, 6.5%, 4.4%, 0.0%, 1.6%, 0.0%, 43.3%, 49.4%, 5.1%, 2.2%, 0.0%, 0.0%, 0.0%, 33.7%, 45.8%, 16.5%, 3.0%, 0.0%, 0.0%, 0.0%

Newmarket—Aurora, 42.9%, 38.2%, 10.6%, 5.7%, 0.0%, 1.0%, 1.7%, 45.2%, 42.6%, 8.5%, 2.4%, 0.0%, 0.0%, 0.0%, 23.7%, 54.1%, 15.8%, 4.4%, 0.0%, 0.0%, 0.0%

Aurora—Oak Ridges—Richmond Hill, 42.2%, 44.7%, 7.1%, 4.0%, 0.0%, 1.0%, 1.0%, 47.3%, 45.2%, 5.7%, 1.3%, 0.0%, 0.0%, 0.0%, 27.9%, 51.5%, 16.0%, 3.5%, 0.0%, 0.0%, 0.0%

Pickering—Uxbridge, 51.0%, 29.2%, 11.9%, 5.9%, 0.0%, 2.0%, 0.0%, 50.3%, 38.2%, 9.2%, 2.3%, 0.0%, 0.0%, 0.0%, 33.6%, 46.0%, 15.8%, 4.5%, 0.0%, 0.0%, 0.0%

