Battlefords—Lloydminster,6.3%,79.0%,11.2%,1.7%,0.0%,1.8%,0.0%,10.4%,69.7%,13.2%,1.6%,0.0%,0.0%,0.0%,16.5%,61.0%,17.6%,1.7%,0.0%,0.0%,0.0%
Carlton Trail—Eagle Creek,4.6%,78.7%,12.2%,1.9%,0.0%,1.8%,0.8%,14.4%,64.7%,18.7%,2.2%,0.0%,0.0%,0.0%,3.9%,68.3%,24.4%,2.6%,0.0%,0.0%,0.0%
Cypress Hills—Grasslands,4.1%,81.2%,9.5%,1.8%,0.0%,2.8%,0.6%,14.9%,69.2%,13.2%,2.7%,0.0%,0.0%,0.0%,5.8%,70.6%,20.8%,2.8%,0.0%,0.0%,0.0%
Desnethe—Missinippi—Churchill River,26.6%,41.7%,28.9%,1.9%,0.0%,0.8%,0.0%,33.9%,30.1%,34.2%,1.8%,0.0%,0.0%,0.0%,5.3%,46.9%,45.4%,2.5%,0.0%,0.0%,0.0%
Moose Jaw—Lake Centre—Lanigan,5.5%,71.2%,17.1%,2.6%,0.0%,3.6%,0.0%,17.9%,55.5%,23.8%,2.3%,0.0%,0.0%,0.0%,3.8%,61.0%,32.5%,2.7%,0.0%,0.0%,0.0%
Prince Albert,10.1%,68.0%,17.4%,2.1%,0.0%,1.9%,0.4%,19.8%,49.8%,28.5%,1.9%,0.0%,0.0%,0.0%,3.4%,62.4%,31.5%,2.2%,0.0%,0.0%,0.0%
Regina—Lewvan,13.0%,52.9%,28.5%,4.0%,0.0%,1.1%,0.5%,27.5%,34.9%,35.2%,1.8%,0.0%,0.0%,0.0%,8.2%,43.9%,45.2%,2.8%,0.0%,0.0%,0.0%
Regina—Qu'Appelle,11.3%,63.7%,19.8%,3.2%,0.0%,1.6%,0.7%,22.8%,44.7%,30.2%,2.3%,0.0%,0.0%,0.0%,4.8%,53.2%,38.7%,3.0%,0.0%,0.0%,0.0%
Regina—Wascana,33.5%,49.6%,12.8%,2.9%,0.0%,1.0%,0.3%,55.1%,30.3%,12.6%,2.1%,0.0%,0.0%,0.0%,41.8%,35.7%,20.1%,2.5%,0.0%,0.0%,0.0%
Saskatoon—Grasswood,16.9%,53.7%,25.4%,2.6%,0.0%,1.4%,0.3%,26.4%,41.9%,30.2%,1.8%,0.0%,0.0%,0.0%,7.3%,50.2%,39.8%,2.5%,0.0%,0.0%,0.0%
