Sarnia—Lambton, 20.7%, 49.6%, 21.7%, 4.3%, 0.0%, 2.7%, 0.9%, 27.3%, 38.8%, 31.1%, 2.8%, 0.0%, 0.0%, 0.0%, 14.0%, 52.6%, 29.9%, 2.5%, 0.0%, 0.0%, 0.0%
Elgin—Middlesex—London, 23.1%, 50.4%, 17.8%, 5.7%, 0.0%, 1.5%, 1.4%, 31.0%, 49.2%, 15.4%, 3.1%, 0.0%, 0.0%, 0.0%, 13.4%, 58.1%, 24.1%, 3.0%, 0.0%, 0.0%, 0.0%
Waterloo, 48.7%, 24.7%, 15.2%, 9.7%, 0.0%, 1.7%, 0.0%, 49.7%, 32.3%, 14.9%, 2.9%, 0.0%, 0.0%, 0.0%, 38.3%, 41.4%, 14.9%, 4.7%, 0.0%, 0.0%, 0.0%
Wellington—Halton Hills, 28.3%, 47.7%, 9.2%, 12.6%, 0.0%, 2.2%, 0.0%, 36.5%, 50.9%, 8.3%, 4.0%, 0.0%, 0.0%, 0.0%, 16.3%, 63.7%, 13.0%, 6.4%, 0.0%, 0.0%, 0.0%
Kitchener Centre, 36.6%, 24.0%, 11.1%, 26.0%, 0.0%, 1.9%, 0.4%, 48.8%, 30.4%, 16.6%, 3.1%, 0.0%, 0.0%, 0.0%, 32.3%, 40.4%, 21.9%, 4.6%, 0.0%, 0.0%, 0.0%
Kitchener—Conestoga, 39.6%, 39.1%, 10.1%, 9.6%, 0.0%, 1.5%, 0.0%, 42.8%, 43.3%, 9.8%, 2.8%, 0.0%, 0.0%, 0.0%, 23.5%, 54.4%, 18.3%, 3.7%, 0.0%, 0.0%, 0.0%
Kitchener South—Hespeler, 40.1%, 33.6%, 13.3%, 10.9%, 0.0%, 1.9%, 0.3%, 42.3%, 36.7%, 15.6%, 3.7%, 0.0%, 0.0%, 0.0%, 18.9%, 51.2%, 25.8%, 4.0%, 0.0%, 0.0%, 0.0%
Brantford—Brant, 30.7%, 40.4%, 19.6%, 6.3%, 0.0%, 2.0%, 1.1%, 30.7%, 40.9%, 24.8%, 2.5%, 0.0%, 0.0%, 0.0%, 18.9%, 48.4%, 29.0%, 3.2%, 0.0%, 0.0%, 0.0%
Cambridge, 39.5%, 30.2%, 19.2%, 7.5%, 0.0%, 3.2%, 0.4%, 43.2%, 38.7%, 13.9%, 3.2%, 0.0%, 0.0%, 0.0%, 15.4%, 52.7%, 27.9%, 3.6%, 0.0%, 0.0%, 0.0%
Haldimand—Norfolk, 24.5%, 46.8%, 15.4%, 8.1%, 0.0%, 2.1%, 3.2%, 36.6%, 44.1%, 13.6%, 3.3%, 0.0%, 0.0%, 0.0%, 24.3%, 50.9%, 20.0%, 3.3%, 0.0%, 0.0%, 0.0%
London—Fanshawe, 26.7%, 24.8%, 40.9%, 5.0%, 0.0%, 2.0%, 0.5%, 31.4%, 27.2%, 37.8%, 2.9%, 0.0%, 0.0%, 0.0%, 12.0%, 33.9%, 49.9%, 3.0%, 0.0%, 0.0%, 0.0%
London North Centre, 42.7%, 23.9%, 23.3%, 7.5%, 0.0%, 2.4%, 0.2%, 50.5%, 31.1%, 14.7%, 3.6%, 0.0%, 0.0%, 0.0%, 33.8%, 39.7%, 24.7%, 4.1%, 0.0%, 0.0%, 0.0%
